"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"bufalo";0,418;0,031;0,545;0,418;0,545;0,418;0,37
"bisogno";0,418;0,418;0,401;0,031;0,401;0,502;0,629
"bellissimo";0,315;0,315;0,349;0,485;0,469;0,485;0,44
"banale";0,502;0,418;0,545;0,418;0,545;0,418;0,629
"attirare";0,418;0,031;0,401;0,502;0,401;0,418;0,629
"attendere";0,031;0,418;0,545;0,418;0,401;0,418;0,629
"appetito";0,502;0,418;0,545;0,502;0,545;0,418;0,37
"antico";0,315;0,485;0,469;0,315;0,469;0,315;0,44
"altissimo";0,485;0,485;0,349;0,315;0,349;0,485;0,44
"agio";0,485;0,315;0,469;0,485;0,009;0,485;0,44
"affettato";0,485;0,485;0,469;0,007;0,469;0,485;0,416
"adatto";0,08;0,363;0,723;0,363;0,723;0,674;0,314
"acquistare";0,485;0,315;0,469;0,485;0,469;0,315;0,416
"accorgersi";0,502;0,418;0,401;0,502;0,545;0,418;0,629
"accomodare";0,08;0,363;0,099;0,363;0,723;0,363;0,314
"accettare";0,315;0,485;0,349;0,485;0,469;0,485;0,416
"visciola";0,485;0,485;0,349;0,315;0,469;0,485;0,416
"viaggio";0,485;0,485;0,349;0,315;0,469;0,315;0,44
"velocità";0,031;0,502;0,545;0,418;0,401;0,418;0,37
"valido";0,502;0,502;0,401;0,418;0,041;0,418;0,37
"utilizzare";0,485;0,485;0,469;0,485;0,009;0,485;0,416
"ungere";0,418;0,502;0,545;0,031;0,401;0,418;0,37
"titolo";0,485;0,485;0,469;0,007;0,349;0,485;0,44
"titolare_che";0,485;0,315;0,469;0,485;0,009;0,485;0,44
"tiramisu";0,418;0,418;0,545;0,031;0,545;0,418;0,37
"terzo";0,315;0,485;0,349;0,485;0,349;0,485;0,44
"supermercato";0,485;0,485;0,349;0,315;0,469;0,315;0,44
"struttura";0,418;0,502;0,401;0,502;0,545;0,502;0,37
"stazione";0,485;0,485;0,349;0,485;0,469;0,315;0,416
"sporco";0,315;0,485;0,349;0,485;0,469;0,485;0,416
"sottofondo";0,502;0,418;0,401;0,502;0,041;0,418;0,37
"soluzione";0,007;0,315;0,469;0,485;0,469;0,485;0,44
"simpaticissimo";0,502;0,418;0,401;0,418;0,545;0,031;0,37
"seguito";0,031;0,418;0,545;0,418;0,401;0,502;0,37
"segno";0,315;0,485;0,349;0,315;0,469;0,485;0,44
"scottare";0,485;0,485;0,349;0,485;0,009;0,485;0,44
"sconto";0,031;0,418;0,401;0,502;0,545;0,418;0,37
"salvo";0,502;0,502;0,401;0,418;0,401;0,418;0,062
"rispettare";0,418;0,418;0,041;0,031;0,401;0,418;0,37
"riprovare";0,485;0,485;0,349;0,007;0,469;0,485;0,44
"riportare";0,031;0,418;0,401;0,418;0,545;0,418;0,629
"ripassata";0,485;0,485;0,009;0,485;0,469;0,315;0,44
"riempire";0,485;0,485;0,469;0,485;0,349;0,315;0,416
