"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"0";"11";" 0.00";"-2.35";"gelato";"0.12562908"
"0";"11";" 0.00";"-2.35";"crema";"0.12562908"
"1";"20";" 5.00";"-2.22";"carne";"0.13588267"
"1";"20";" 5.00";"-2.22";"interno";"0.13588267"
"1";"20";" 5.00";"-2.22";"vero";"0.13588267"
"3";"35";" 8.57";"-2.12";"anno";"0.14501265"
"0";"10";" 0.00";"-2.11";"originale";"0.14599707"
"0";"10";" 0.00";"-2.11";"misto";"0.14599707"
"0";"10";" 0.00";"-2.11";"posto";"0.14599707"
"0";"10";" 0.00";"-2.11";"speciale";"0.14599707"
"0";"10";" 0.00";"-2.11";"gruppo";"0.14599707"
"6";"55";"10.91";"-2.09";"piatto";"0.14806196"
"*****";"*";"*";"*";"*";"*"
"0";"24";" 0.00";"-5.79";"buon";"0.01611816"
"0";"13";" 0.00";"-2.82";"nessuno";"0.09294603"
"2";"28";" 7.14";"-2.21";"ogni";"0.13683689"
"6";"55";"10.91";"-2.09";"altro";"0.14806196"
"*";"*";"*";"*";"*";"*"
"0";"11";"0";"-2.35";"*RATING_4";"0.1256291"
"**";"classe";"7";"**";"";""
"****";"17";"123";"13.82";"****";""
" 2";" 74";" 2.70";"-19.28";"servizio";"1.129443e-05"
" 1";" 50";" 2.00";" -9.88";"cucina";"1.667354e-03"
" 1";" 46";" 2.17";" -8.37";"cena";"3.816795e-03"
" 2";" 53";" 3.77";" -7.89";"romano";"4.961805e-03"
" 1";" 44";" 2.27";" -7.67";"ristorante";"5.612710e-03"
" 0";" 32";" 0.00";" -6.94";"vino";"8.444187e-03"
" 0";" 31";" 0.00";" -6.65";"serata";"9.932603e-03"
" 0";" 29";" 0.00";" -6.09";"antipasto";"1.362720e-02"
" 0";" 29";" 0.00";" -6.09";"menù";"1.362720e-02"
" 3";" 55";" 5.45";" -5.85";"piatto";"1.560620e-02"
" 0";" 28";" 0.00";" -5.81";"pepe";"1.589818e-02"
" 0";" 28";" 0.00";" -5.81";"ambiente";"1.589818e-02"
" 1";" 38";" 2.63";" -5.78";"disponibile";"1.620668e-02"
" 0";" 26";" 0.00";" -5.29";"cacio";"2.147912e-02"
" 0";" 26";" 0.00";" -5.29";"menu";"2.147912e-02"
" 3";" 53";" 5.66";" -5.21";"cibo";"2.249424e-02"
" 0";" 24";" 0.00";" -4.78";"rapporto";"2.875601e-02"
" 5";" 66";" 7.58";" -4.66";"primo";"3.080349e-02"
" 9";" 91";" 9.89";" -4.54";"locale";"3.315034e-02"
" 1";" 32";" 3.12";" -4.15";"cameriere";"4.152300e-02"
" 2";" 41";" 4.88";" -4.13";"accogliente";"4.213985e-02"
" 0";" 21";" 0.00";" -4.06";"carciofo";"4.387617e-02"
" 0";" 21";" 0.00";" -4.06";"carbonaro";"4.387617e-02"
" 7";" 77";" 9.09";" -3.87";"personale";"4.922262e-02"
" 1";" 30";" 3.33";" -3.66";"ingrediente";"5.559646e-02"
" 0";" 19";" 0.00";" -3.60";"musico";"5.764543e-02"
" 8";" 82";" 9.76";" -3.41";"qualità";"6.468967e-02"
